Source,Target,Type,Id,Label,Weight
Guillaume BELLEC,Steve Furber,Undirected,103,,1
Guillaume BELLEC,Christian Mayr,Undirected,104,,1
Guillaume BELLEC,chen liu,Undirected,105,,1
Guillaume BELLEC,Ana Stanojevic,Undirected,106,,1
Guillaume BELLEC,Daniel Wolff,Undirected,107,,1
Guillaume BELLEC,Tillman Weyde,Undirected,108,,1
Guillaume BELLEC,Anders Friberg,Undirected,109,,1
Guillaume BELLEC,Romain Brette,Undirected,110,,1
Guillaume BELLEC,Pierre Yger,Undirected,111,,1
Guillaume BELLEC,Christos Sourmpis,Undirected,112,,1
Kerstin Preuschoff,Wolfgang Einhäuser Treyer,Undirected,113,,1
Kerstin Preuschoff,Hugo Critchley,Undirected,114,,1
Kerstin Preuschoff,Bernard Marius 't Hart,Undirected,115,,1
Kerstin Preuschoff,Christof Koch,Undirected,116,,1
Kerstin Preuschoff,Bernd Weber,Undirected,117,,1
Kerstin Preuschoff,jean daunizeau,Undirected,118,,1
Kerstin Preuschoff,Sarah Rudorf,Undirected,119,,1
Kerstin Preuschoff,Peter N.C. Mohr,Undirected,120,,1
Sophia Becker,Andreas Nold,Undirected,121,,1
Christos Sourmpis,Reza Asri,Undirected,122,,1
Christos Sourmpis,Yanqi Liu,Undirected,123,,1
Christos Sourmpis,Anthony Renard,Undirected,124,,1
Christos Sourmpis,Pol Bech,Undirected,125,,1
Christos Sourmpis,Robin Dard,Undirected,126,,1
Christos Sourmpis,Parviz Ghaderi,Undirected,127,,1
Mathew E. Diamond,Athena Akrami,Undirected,128,,1
Mohammad Hassan Moradi,Pooria Jafari Moghadam Fard,Undirected,129,,1
Mohammad Hassan Moradi,Farzad Towhidkhah,Undirected,130,,1
Mohammad Hassan Moradi,Soroosh Solhjoo,Undirected,131,,1
Mohammad Hassan Moradi,Vahid Abootalebi,Undirected,132,,1
Mohammad Hassan Moradi,Amin Mohammadian,Undirected,133,,1
Athena Akrami,Carlos Brody,Undirected,134,,1
Athena Akrami,Alessandro Treves,Undirected,135,,1
Athena Akrami,Jonathan Pillow,Undirected,136,,1
Athena Akrami,Ji Hyun Bak,Undirected,137,,1
Athena Akrami,Dale M Needham,Undirected,138,,1
Athena Akrami,Daniel Munblit,Undirected,139,,1
Athena Akrami,Alex Piet,Undirected,140,,1
Athena Akrami,Soroosh Solhjoo,Undirected,141,,1
Athena Akrami,David W. Tank,Undirected,142,,1
Athena Akrami,Tim Hanks,Undirected,143,,1
Athena Akrami,Benjamin Scott,Undirected,144,,1
Athena Akrami,Chunyu A Duan,Undirected,145,,1
Athena Akrami,Federico Stella,Undirected,146,,1
Athena Akrami,Nicholas A. Roy,Undirected,147,,1
Athena Akrami,Seyed Mohammad Reza Hashemi Gol...,Undirected,148,,1
Athena Akrami,Ali Motie Nasrabadi,Undirected,149,,1
Athena Akrami,Marco Milanese,Undirected,150,,1
Athena Akrami,Sara Ebrahimi Nasrabady,Undirected,151,,1
Mohammad B. SHAMSOLLAHI,Christian Jutten,Undirected,152,,1
Mohammad B. SHAMSOLLAHI,Reza Sameni,Undirected,153,,1
Mohammad B. SHAMSOLLAHI,Lotfi Senhadji,Undirected,154,,1
Mohammad B. SHAMSOLLAHI,Gari Clifford,Undirected,155,,1
Mohammad B. SHAMSOLLAHI,Sepideh Hajipour Sardouie,Undirected,156,,1
Mohammad B. SHAMSOLLAHI,Mahsa Akhbari,Undirected,157,,1
Mohammad B. SHAMSOLLAHI,Nasim Montazeri Ghahjaverestan,Undirected,158,,1
Mohammad B. SHAMSOLLAHI,Ali Motie Nasrabadi,Undirected,159,,1
Mohammad B. SHAMSOLLAHI,Mohammad Niknazar,Undirected,160,,1
Mohammad B. SHAMSOLLAHI,Isabelle Merlet,Undirected,161,,1
Mohammad B. SHAMSOLLAHI,Parvaneh Janbakhshi,Undirected,162,,1
Mohammad B. SHAMSOLLAHI,Reza Mousavi,Undirected,163,,1
Mohammad B. SHAMSOLLAHI,Jean-Michel Badier,Undirected,164,,1
Mohammad B. SHAMSOLLAHI,Hamid Niknazar,Undirected,165,,1
Mohammad B. SHAMSOLLAHI,Arash Vosoughi,Undirected,166,,1
Mohammad B. SHAMSOLLAHI,fabrice wendling,Undirected,167,,1
Mohammad B. SHAMSOLLAHI,Mohammad Ayat,Undirected,168,,1
Mohammad B. SHAMSOLLAHI,Vahid Abootalebi,Undirected,169,,1
Mohammad B. SHAMSOLLAHI,Ronald Phlypo,Undirected,170,,1
Mohammad B. SHAMSOLLAHI,Hossein Mamaghanian,Undirected,171,,1
Pierre Le Merre,Marie Carlen,Undirected,172,,1
Pierre Le Merre,Laura MJ Fernandez,Undirected,173,,1
Farzad Towhidkhah,Shahriar Gharibzadeh,Undirected,174,,1
Farzad Towhidkhah,Golnaz Baghdadi,Undirected,175,,1
Farzad Towhidkhah,Yashar Sarbaz,Undirected,176,,1
Farzad Towhidkhah,Sajad Jafari,Undirected,177,,1
Farzad Towhidkhah,Ali Fallah,Undirected,178,,1
Farzad Towhidkhah,saeid rashidi,Undirected,179,,1
Farzad Towhidkhah,Heidar Ali Talebi,Undirected,180,,1
Farzad Towhidkhah,Mohammad Ali Ahmadi-Pajouh,Undirected,181,,1
Farzad Towhidkhah,Rasoul Mahdavifar Khayati,Undirected,182,,1
Farzad Towhidkhah,S. Farokh Atashzar,Undirected,183,,1
Farzad Towhidkhah,Mohammad Darainy,Undirected,184,,1
Farzad Towhidkhah,Mahya Shahbazi,Undirected,185,,1
Farzad Towhidkhah,"Hamed Ekhtiari, MD, PhD,",Undirected,186,,1
Farzad Towhidkhah,Seyed Mohammad Reza Hashemi Gol...,Undirected,187,,1
Farzad Towhidkhah,aghaeinia,Undirected,188,,1
Farzad Towhidkhah,David Ostry,Undirected,189,,1
Farzad Towhidkhah,Mahyar Naraghi,Undirected,190,,1
Farzad Towhidkhah,Amin Mohammadian,Undirected,191,,1
Farzad Towhidkhah,Hamed Azarnoush,Undirected,192,,1
Graham Knott,Anthony Holtmaat,Undirected,193,,1
Graham Knott,Karel Svoboda,Undirected,194,,1
Graham Knott,"Vincenzo De Paola, PhD",Undirected,195,,1
Graham Knott,Linda Wilbrecht,Undirected,196,,1
Graham Knott,Pascal Fua,Undirected,197,,1
Graham Knott,Joshua T Trachtenberg,Undirected,198,,1
Graham Knott,Fred A. Hamprecht,Undirected,199,,1
Graham Knott,Ullrich Köthe,Undirected,200,,1
Graham Knott,Anna Kreshuk,Undirected,201,,1
Graham Knott,Anne Jorstad,Undirected,202,,1
Graham Knott,Aurelien Lucchi,Undirected,203,,1
Graham Knott,Gordon M. G. Shepherd,Undirected,204,,1
Graham Knott,Leonardo Sacconi,Undirected,205,,1
Graham Knott,Carlos Portera-Cailliau,Undirected,206,,1
Graham Knott,Anna Letizia Allegra Mascaro,Undirected,207,,1
Graham Knott,francesco saverio pavone,Undirected,208,,1
Graham Knott,Tobias Bonhoeffer,Undirected,209,,1
Graham Knott,Wei-Chung Allen Lee,Undirected,210,,1
Graham Knott,Zoltán Molnár,Undirected,211,,1
Graham Knott,Kevin Smith,Undirected,212,,1
Dane Corneil,Alexander Seeholzer,Undirected,213,,1
Tilo Schwalger,Benjamin Lindner,Undirected,214,,1
Tilo Schwalger,Moritz Deger,Undirected,215,,1
Tilo Schwalger,Jan Benda,Undirected,216,,1
Tilo Schwalger,Felix Droste,Undirected,217,,1
Tilo Schwalger,Valentin Schmutz,Undirected,218,,1
Tilo Schwalger,Andreas Herz,Undirected,219,,1
Tilo Schwalger,Bastian Pietras,Undirected,220,,1
Tilo Schwalger,Richard Naud,Undirected,221,,1
Tilo Schwalger,Davide Bernardi,Undirected,222,,1
Tilo Schwalger,Alexander Neiman,Undirected,223,,1
Tilo Schwalger,Lutz Schimansky-Geier,Undirected,224,,1
Tilo Schwalger,Anton V. Chizhov,Undirected,225,,1
Tilo Schwalger,Arsen Dzhanoev,Undirected,226,,1
